Property ID,Property name,Final URL,Image URL,Destination name,Price,Star rating,Score,Max score,Facilities
1502021946169,Отель Villa Dalila,https://sutochno.ru/front/searchapp/hotels/150202,https://pumpons.github.io/sutochno-feeds/images/526e66117cdafd06.png,Адлер,3164 RUB,3,4.9229582146249,5.0,круглосуточная стойка;Терраса;Бассейн (открытый);Игровая площадка для детей;бассейн с подогревом;камера хранения
1502021946153,Отель Villa Dalila,https://sutochno.ru/front/searchapp/hotels/150202,https://pumpons.github.io/sutochno-feeds/images/fdeb36bec26c5a83.png,Адлер,2599 RUB,3,4.9229582146249,5.0,круглосуточная стойка;Терраса;Бассейн (открытый);Игровая площадка для детей;бассейн с подогревом;камера хранения
1502022205054,Отель Villa Dalila,https://sutochno.ru/front/searchapp/hotels/150202,https://pumpons.github.io/sutochno-feeds/images/cf3edc059ac61be3.png,Адлер,2938 RUB,3,4.9229582146249,5.0,круглосуточная стойка;Терраса;Бассейн (открытый);Игровая площадка для детей;бассейн с подогревом;камера хранения
1502021946059,Отель Villa Dalila,https://sutochno.ru/front/searchapp/hotels/150202,https://pumpons.github.io/sutochno-feeds/images/9ae3246897b04b10.png,Адлер,2486 RUB,3,4.9229582146249,5.0,круглосуточная стойка;Терраса;Бассейн (открытый);Игровая площадка для детей;бассейн с подогревом;камера хранения
1287431666834,Апартаменты Край моря,https://sutochno.ru/front/searchapp/hotels/128743,https://pumpons.github.io/sutochno-feeds/images/e6147ef28f558873.png,Адлер,4800 RUB,0,4.922619047619,5.0,трансфер
147804680709,Апартаменты Анита,https://sutochno.ru/front/searchapp/hotels/147804,https://pumpons.github.io/sutochno-feeds/images/7a2dfab0056960c8.png,Сочи,2030 RUB,0,4.9215094078035,5.0,трансфер
147804684257,Апартаменты Анита,https://sutochno.ru/front/searchapp/hotels/147804,https://pumpons.github.io/sutochno-feeds/images/7a2dfab0056960c8.png,Сочи,2030 RUB,0,4.9215094078035,5.0,трансфер
147804684247,Апартаменты Анита,https://sutochno.ru/front/searchapp/hotels/147804,https://pumpons.github.io/sutochno-feeds/images/7a2dfab0056960c8.png,Сочи,2030 RUB,0,4.9215094078035,5.0,трансфер
147804680711,Апартаменты Анита,https://sutochno.ru/front/searchapp/hotels/147804,https://pumpons.github.io/sutochno-feeds/images/7a2dfab0056960c8.png,Сочи,2030 RUB,0,4.9215094078035,5.0,трансфер
147804835765,Апартаменты Анита,https://sutochno.ru/front/searchapp/hotels/147804,https://pumpons.github.io/sutochno-feeds/images/7237cee42ef5d4c8.png,Сочи,1620 RUB,0,4.9215094078035,5.0,трансфер
